,,Day,Price (USD),Price (MAD),Predicted Price (USD),Predicted Price (MAD)
Historical,1,1,42517.32,427562.44846737717,,
Historical,2,2,43469.34,437136.14695519133,,
Historical,3,3,42588.94,428282.6731325074,,
Historical,4,4,42073.59,423100.2131887089,,
Historical,5,5,42146.03,423828.6839335013,,
Historical,6,6,42280.14,425177.3202060594,,
Historical,7,7,44197.61,444459.7718766431,,
Historical,8,8,44970.34,452230.49521490134,,
Historical,9,9,42854.08,430948.9725979168,,
Historical,10,10,44194.38,444427.2903677298,,
Historical,11,11,44178.89,444271.5199116719,,
Historical,12,12,43988.33,442355.2114477343,,
Historical,13,13,43950.84,441978.20470805635,,
Historical,14,14,46988.14,472521.88490073936,,
Historical,15,15,46123.0,463821.86860933,,
Historical,16,16,46667.48,469297.2655050308,,
Historical,17,17,46353.15,466136.3018218365,,
Historical,18,18,42776.42,430168.0085167382,,
Historical,19,19,42839.19,430799.23585868493,,
Historical,20,20,41704.39,419387.46610177687,,
Historical,21,21,42491.26,427300.3840332346,,
Historical,22,22,43130.88,433732.5272936448,,
Historical,23,23,42739.27,429794.42088326166,,
Historical,24,24,41286.68,415186.8930094628,,
Historical,25,25,41625.47,418593.8312152637,,
Historical,26,26,41677.08,419112.83142424683,,
Historical,27,27,41570.17,418037.7236478007,,
Historical,28,28,39523.63,397457.31892599724,,
Historical,29,29,39876.44,401005.2449816324,,
Historical,30,30,40078.62,403038.4064281002,,
Historical,31,31,39941.74,401661.9144961954,,
Historical,32,32,41816.55,420515.3689004505,,
Historical,33,33,42124.02,423607.34708793415,,
Historical,34,34,42028.92,422651.0029710132,,
Historical,35,35,43302.28,435456.1590669388,,
Historical,36,36,42943.64,431849.6053961444,,
Historical,37,37,42555.08,427942.1703796268,,
Historical,38,38,43073.2,433152.48598277196,,
Historical,39,39,43181.71,434243.6836707541,,
Historical,40,40,42999.52,432411.54555653915,,
Historical,41,41,42570.21,428094.3206055891,,
Historical,42,42,42664.56,429043.1225764776,,
Historical,43,43,43091.51,433336.6149079121,,
Historical,44,44,44339.04,445882.0194944784,,
Historical,45,45,45304.61,455591.9794206131,,
Historical,46,46,47154.23,474192.11828012334,,
Historical,47,47,47768.12,480365.5156506452,,
Historical,48,48,48311.16,485826.4316259636,,
Historical,49,49,49942.97,502236.2307156887,,
Historical,50,50,49733.11,500125.83769384807,,
Historical,51,51,51844.19,521355.2692222349,,
Historical,52,52,51934.57,522264.1481001247,,
Historical,53,53,52163.28,524564.1003922488,,
Historical,54,54,51668.78,519591.31210815377,,
Historical,55,55,52139.33,524323.2545289443,,
Historical,56,56,51781.22,520722.0306413462,,
Historical,57,57,52269.59,525633.1744518689,,
Historical,58,58,51854.36,521457.5407224356,,
Historical,59,59,51263.67,515517.44706918567,,
Historical,60,60,50744.07,510292.2482978697,,
Historical,61,61,51574.61,518644.3202523131,,
Historical,62,62,51727.63,520183.11916683725,,
Historical,63,63,54518.58,548249.4557927118,,
Historical,64,64,57071.6,573923.1220112359,,
Historical,65,65,62507.1,628583.568357441,,
Historical,66,66,61179.58,615233.7687560217,,
Historical,67,67,62431.25,627820.8059886874,,
Historical,68,68,62038.39,623870.1293349168,,
Historical,69,69,63149.43,635042.9639055153,,
Historical,70,70,68338.64,687226.6700565944,,
Historical,71,71,63804.11,641626.553458258,,
Historical,72,72,66115.57,664871.0452826348,,
Historical,73,73,66928.15,673042.5079800864,,
Historical,74,74,68269.39,686530.2785729269,,
Historical,75,75,68446.32,688309.5211029672,,
Historical,76,76,69023.53,694114.0572515263,,
Historical,77,77,72095.86,725010.0059449006,,
Historical,78,78,71449.5,718510.083932145,,
Historical,79,79,73118.09,735289.7498633038,,
Historical,80,80,71366.96,717680.0456207816,,
Historical,81,81,69497.39,698879.2856768069,,
Historical,82,82,65260.55,656272.7976816905,,
Historical,83,83,68364.45,687486.2204420594,,
Historical,84,84,67609.44,679893.6928740625,,
Historical,85,85,61924.02,622720.0023459342,,
Historical,86,86,67857.3,682386.221294883,,
Historical,87,87,65493.22,658612.5725048662,,
Historical,88,88,63816.99,641756.0772461229,,
Historical,89,89,64004.42,643640.9098206182,,
Historical,90,90,67208.33,675860.0526139343,,
Historical,91,91,69892.26,702850.1752819446,,
Historical,92,92,69990.22,703835.2801157362,,
Historical,93,93,69434.46,698246.4493437066,,
Historical,94,94,70789.57,711873.6993571748,,
Historical,95,95,69903.72,702965.4192733212,,
Historical,96,96,69629.99,700212.737095353,,
Historical,97,97,71312.91,717136.5082967061,,
Historical,98,98,69686.37,700779.7053531026,,
Historical,99,99,65466.81,658346.988402575,,
Historical,100,100,65986.11,663569.1703154781,,
Historical,101,101,68523.79,689088.5745071508,,
Historical,102,102,67860.53,682418.7028037963,,
Historical,103,103,68913.79,693010.4904440509,,
Historical,104,104,69357.32,697470.7144837773,,
Historical,105,105,71629.36,720318.7911126856,,
Historical,106,106,69129.48,695179.5110810507,,
Historical,107,107,70628.54,710254.3503230233,,
Historical,108,108,70026.43,704199.4149261852,,
Historical,109,109,67158.3,675356.941192593,,
Historical,110,110,64021.36,643811.2617590056,,
Historical,111,111,65765.64,661352.0810677644,,
Historical,112,112,63447.27,638038.1009379417,,
Historical,113,113,63824.7,641833.6105073369,,
Historical,114,114,61283.74,616281.2219970154,,
Historical,115,115,63511.2,638680.993465752,,
Historical,116,116,63848.26,642070.5344547046,,
Historical,117,117,64979.21,653443.587861979,,
Historical,118,118,64955.82,653208.3734677122,,
Historical,119,119,66854.24,672299.2546290704,,
Historical,120,120,66415.06,667882.7750363325,,
Historical,121,121,64263.95,646250.7940337044,,
Historical,122,122,64488.49,648508.8119938879,,
Historical,123,123,63750.63,641088.7481651673,,
Historical,124,124,63434.44,637909.0799598125,,
Historical,125,125,63111.34,634659.9234490114,,
Historical,126,126,63847.54,642063.2939945133,,
Historical,127,127,60633.97,609747.0083602987,,
Historical,128,128,58277.44,586049.2838403424,,
Historical,129,129,59083.85,594158.6998164335,,
Historical,130,130,62917.45,632710.1278566895,,
Historical,131,131,63904.51,642636.195407142,,
Historical,132,132,64037.5,643973.568741625,,
Historical,133,133,63168.44,635234.1321669524,,
Historical,134,134,62323.36,626735.8431414256,,
Historical,135,135,61179.81,615236.0816808051,,
Historical,136,136,63077.18,634316.4038377178,,
Historical,137,137,60790.82,611324.3225005622,,
Historical,138,138,60823.19,611649.841523325,,
Historical,139,139,61459.22,618045.8830447262,,
Historical,140,140,62932.29,632859.3617861859,,
Historical,141,141,61548.48,618943.4989845408,,
Historical,142,142,66245.16,666174.2275551036,,
Historical,143,143,65250.53,656172.0346106963,,
Historical,144,144,67051.35,674281.4311683585,,
Historical,145,145,66927.56,673036.5748252076,,
Historical,146,146,66268.25,666406.4250909574,,
Historical,147,147,71430.23,718316.3010600832,,
Historical,148,148,70141.17,705353.2627072106,,
Historical,149,149,69123.56,695119.9784083676,,
Historical,150,150,67946.35,683281.7254338085,,
Historical,151,151,68548.33,689335.3535253343,,
Historical,152,152,69288.95,696783.1724514544,,
Historical,153,153,68488.29,688731.5795949458,,
Historical,154,154,69386.83,697767.4727896693,,
Historical,155,155,68330.84,687148.2317378564,,
Historical,156,156,67576.81,679565.5592406751,,
Historical,157,157,68346.19,687302.5943266549,,
Historical,158,158,67482.25,678614.6454688975,,
Historical,159,159,67721.6,681021.5956727361,,
Historical,160,160,67738.74,681193.9588500655,,
Historical,161,161,68799.6,691862.173570116,,
Historical,162,162,70548.51,709449.553060382,,
Historical,163,163,71117.68,715173.2374034728,,
Historical,164,164,70772.35,711700.5316842685,,
Historical,165,165,69330.51,697201.1079036021,,
Historical,166,166,69303.58,696930.2945800618,,
Historical,167,167,69639.42,700307.5670114681,,
Historical,168,168,69505.57,698961.5453495347,,
Historical,169,169,67319.41,676977.0947223211,,
Historical,170,170,68247.0,686305.12037337,,
Historical,171,171,66742.54,671175.9776799633,,
Historical,172,172,66006.13,663770.4953335724,,
Historical,173,173,66188.81,665607.5609831951,,
Historical,174,174,66631.59,670060.2428768888,,
Historical,175,175,66481.73,668553.2215376482,,
Historical,176,176,65158.02,655241.7360380741,,
Historical,177,177,64950.82,653158.0924941621,,
Historical,178,178,64847.89,652123.0083726619,,
Historical,179,179,64119.34,644796.5677166913,,
Historical,180,180,64250.18,646112.3202325478,,
Historical,181,181,63181.02,635360.6390964042,,
Historical,182,182,60270.95,606096.4085566745,,
Historical,183,183,61796.56,621438.2397681975,,
Historical,184,184,60824.43,611662.3112047653,,
Historical,185,185,61630.1,619764.2855967709,,
Historical,186,186,60324.3,606632.906544453,,
Historical,187,187,60905.3,612475.555670963,,
Historical,188,188,62685.88,630381.4148476948,,
Historical,189,189,62841.27,631944.0469436817,,
Historical,190,190,62044.48,623931.3715607008,,
Historical,191,191,60157.2,604952.5164084119,,
Historical,192,192,57041.11,573616.5086345281,,
Historical,193,193,56646.24,569645.6190293904,,
Historical,194,194,58255.65,585830.1593576116,,
Historical,195,195,55866.6,561805.407385686,,
Historical,196,196,56709.76,570284.3885173696,,
Historical,197,197,58047.2,583733.945570312,,
Historical,198,198,57725.78,580501.6834666238,,
Historical,199,199,57348.75,576710.1963751125,,
Historical,200,200,57913.68,582391.2424526328,,
Historical,201,201,59231.06,595639.0722396926,,
Historical,202,202,60818.77,611605.3931427066,,
Historical,203,203,64765.55,651294.9813002405,,
Historical,204,204,65087.61,654533.6793685431,,
Historical,205,205,64096.64,644568.2920967743,,
Historical,206,206,63981.43,643409.7179042352,,
Historical,207,207,66708.49,670833.564250088,,
Historical,208,208,67163.86,675412.8536351806,,
Historical,209,209,68176.98,685600.9856197757,,
Historical,210,210,67567.71,679474.0478688142,,
Historical,211,211,65939.83,663103.7696242993,,
Historical,212,212,65375.53,657429.0589494463,,
Historical,213,213,65794.0,661637.27474974,,
Historical,214,214,67925.17,683068.7352298506,,
Historical,215,215,67904.55,682861.3764949305,,
Historical,216,216,68252.75,686362.9434929525,,
Historical,217,217,66782.78,671580.6389550938,,
Historical,218,218,66180.04,665519.3681555883,,
Historical,219,219,64617.83,649809.4802176793,,
Historical,220,220,65300.21,656671.6263638891,,
Historical,221,221,61422.3,617674.6083360331,,
Historical,222,222,60679.28,610202.6545426088,,
Historical,223,223,58135.89,584625.8294791419,,
Historical,224,224,54031.82,543354.5024556721,,
Historical,225,225,56057.67,563726.8445089257,,
Historical,226,226,55130.45,554402.5396499195,,
Historical,227,227,61708.53,620552.9929478762,,
Historical,228,228,60868.88,612109.3090596248,,
Historical,229,229,60940.82,612832.7517070621,,
Historical,230,230,58725.0,590550.03434475,,
Historical,231,231,59360.89,596944.6679988919,,
Historical,232,232,60609.73,609503.2462005283,,
Historical,233,233,58698.05,590279.0198973155,,
Historical,234,234,57552.92,578763.3696490532,,
Historical,235,235,58893.67,592246.2127064856,,
Historical,236,236,59497.94,598322.8694838975,,
Historical,237,237,58439.22,587676.1750205262,,
Historical,238,238,59464.41,597985.6852752711,,
Historical,239,239,59027.55,593592.5360542606,,
Historical,240,240,61170.8,615145.475366468,,
Historical,241,241,60387.29,607266.3462492359,,
Historical,242,242,64087.8,644479.395335538,,
Historical,243,243,64180.77,645414.3197577266,,
Historical,244,244,64264.62,646257.5316841602,,
Historical,245,245,62850.27,632034.5526960717,,
Historical,246,246,59441.73,597757.6107792483,,
Historical,247,247,59043.5,593752.932359885,,
Historical,248,248,59369.85,597034.7715034934,,
Historical,249,249,59129.05,594613.2398173255,,
Historical,250,250,58989.17,593206.5793012907,,
Historical,251,251,57313.44,576355.1121399024,,
Historical,252,252,59147.8,594801.793468138,,
Historical,253,253,57481.84,578048.5753290664,,
Historical,254,254,57975.52,583013.1175334991,,
Historical,255,255,56167.4,564830.310754454,,
Historical,256,256,53954.33,542575.2479275943,,
Historical,257,257,54167.82,544722.1449362321,,
Historical,258,258,54879.33,551877.2280343443,,
Historical,259,259,57056.31,573769.3627941201,,
Historical,260,260,57642.43,579663.4996375453,,
Historical,261,261,57354.27,576765.7065699117,,
Historical,262,262,58140.61,584673.2947181731,,
Historical,263,263,60548.12,608883.6840444452,,
Historical,264,264,60013.26,603505.0277418547,,
Historical,265,265,59139.21,594715.4107555791,,
Historical,266,266,58210.01,585371.1946310471,,
Historical,267,267,60321.59,606605.6542567889,,
Historical,268,268,61775.68,621228.2664226528,,
Historical,269,269,62963.41,633172.3105655612,,
Historical,270,270,63211.47,635666.8502253237,,
Historical,271,271,63363.17,637192.3749628307,,
Historical,272,272,63587.45,639447.7783123895,,
Historical,273,273,63341.97,636979.1836349787,,
Historical,274,274,64276.65,646378.5077065215,,
Historical,275,275,63144.83,634996.7054098493,,
Historical,276,276,65183.68,655499.7779943328,,
Historical,277,277,65790.28,661599.8657054187,,
Historical,278,278,65868.67,662388.1708087357,,
Historical,279,279,65611.98,659806.8461886258,,
Historical,280,280,63314.81,636706.057386655,,
Historical,281,281,60790.06,611316.6797925825,,
Historical,282,282,60641.8,609825.748364878,,
Historical,283,283,60746.35,610877.1235218084,,
Historical,284,284,62094.06,624429.9576944226,,
Historical,285,285,62059.19,624079.298184885,,
Historical,286,286,62821.76,631747.8505848896,,
Historical,287,287,62209.84,625594.2639179464,,
Historical,288,288,62129.17,624783.0306906906,,
Historical,289,289,60585.22,609256.7688681862,,
Historical,290,290,60280.38,606191.2384727898,,
Historical,291,291,62517.42,628687.3482868482,,
Historical,292,292,63197.03,635521.6387737113,,
Historical,293,293,62854.48,632076.8892758008,,
Historical,294,294,66068.25,664395.1861489575,,
Historical,295,295,67064.69,674415.5808057899,,
Historical,296,296,67614.71,679946.6890201841,,
Historical,297,297,67408.87,677876.7219010777,,
Historical,298,298,68425.63,688101.4584344174,,
Historical,299,299,68370.04,687542.4345704883,,
Historical,300,300,69020.94,694088.0117072274,,
Historical,301,301,67358.14,677366.5711434394,,
Historical,302,302,67390.32,677690.1794892072,,
Historical,303,303,66612.97,669872.9965313887,,
Historical,304,304,68163.56,685466.0314867676,,
Historical,305,305,66577.77,669519.0184775967,,
Historical,306,306,67014.72,673913.0727561312,,
Historical,307,307,67945.14,683269.5574382094,,
Historical,308,308,69925.83,703187.7617383593,,
Historical,309,309,72723.67,731323.3855457857,,
Historical,310,310,72331.96,727384.2735159317,,
Historical,311,311,70207.54,706020.6923501133,,
Historical,312,312,69473.41,698638.1381276611,,
Historical,313,313,69354.01,697437.4284792871,,
Historical,314,314,68747.04,691333.6199761584,,
Historical,315,315,67811.95,681930.1728647845,,
Historical,316,316,69378.09,697679.5816479039,,
Historical,317,317,75643.57,760686.4684795147,,
Historical,318,318,75922.41,763490.5378124511,,
Historical,319,319,76562.31,769925.4968073801,,
Historical,320,320,76716.41,771475.1564121911,,
Historical,321,321,80429.43,808814.0084943152,,
Historical,322,322,88758.31,892570.84749054,,
Historical,323,323,88040.54,885352.8126135434,,
Historical,324,324,90498.51,910070.637524882,,
Historical,325,325,87334.19,878249.6194801349,,
Historical,326,326,91058.92,915706.2296023131,,
Historical,327,327,90630.94,911402.3793903274,,
Historical,328,328,89877.16,903822.2209418236,,
Historical,329,329,90514.83,910234.7546225493,,
Historical,330,330,92418.48,929378.2296822408,,
Historical,331,331,94379.92,949102.8522342232,,
Historical,332,332,98436.25,989894.0965222375,,
Historical,333,333,99010.89,995672.7882503918,,
Historical,334,334,97765.04,983144.2780709383,,
Historical,335,335,98018.2,985690.104323722,,
Historical,336,336,93019.38,935420.9970834798,,
Historical,337,337,91903.89,924203.4124464219,,
Historical,338,338,95957.51,964967.4044467721,,
Historical,339,339,95670.41,962080.2709455311,,
Historical,340,340,97510.92,980588.7978712332,,
Historical,341,341,96473.51,970156.400917132,,
Historical,342,342,97276.47,978231.1230214736,,
Historical,343,343,95859.75,963984.3108519225,,
Historical,344,344,95928.37,964674.3669329226,,
